epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,922.443,0.42081,0.55029,0.92327,0.97978,1,0.995,0.69808,0.89723,0.93354,1.11211,0.0017921,0.0017921,0.0017921
107,929.944,0.45238,0.60582,0.88257,0.97978,1,0.995,0.69808,0.89723,0.93354,1.11211,0.00179012,0.00179012,0.00179012
108,937.128,0.60728,0.64693,0.96274,0.98184,1,0.995,0.7033,0.77776,1.02124,1.04608,0.00178814,0.00178814,0.00178814
109,944.628,0.41207,0.52882,0.89909,0.98184,1,0.995,0.7033,0.77776,1.02124,1.04608,0.00178616,0.00178616,0.00178616
110,951.761,0.47654,0.62778,0.92194,0.98184,1,0.995,0.7033,0.77776,1.02124,1.04608,0.00178418,0.00178418,0.00178418
111,958.842,0.50366,0.63051,0.94333,0.9852,1,0.995,0.81279,0.71199,0.84648,1.0079,0.0017822,0.0017822,0.0017822
112,965.849,0.56055,0.70985,0.90784,0.9852,1,0.995,0.81279,0.71199,0.84648,1.0079,0.00178022,0.00178022,0.00178022
113,972.809,0.49896,0.61478,0.94265,0.98499,1,0.995,0.91229,0.63237,0.72781,0.84939,0.00177824,0.00177824,0.00177824
114,980.058,0.59591,0.59282,0.95434,0.98499,1,0.995,0.91229,0.63237,0.72781,0.84939,0.00177626,0.00177626,0.00177626
115,987.19,0.4913,0.58241,0.913,0.98499,1,0.995,0.91229,0.63237,0.72781,0.84939,0.00177428,0.00177428,0.00177428
116,994.21,0.43325,0.63686,0.93117,0.98603,1,0.995,0.8955,0.57824,0.66422,0.76982,0.0017723,0.0017723,0.0017723
117,1001.16,0.50322,0.5924,0.88209,0.98603,1,0.995,0.8955,0.57824,0.66422,0.76982,0.00177032,0.00177032,0.00177032
118,1008.11,0.42315,0.54839,0.90059,0.98603,1,0.995,0.8955,0.57824,0.66422,0.76982,0.00176834,0.00176834,0.00176834
119,1015.05,0.51643,0.68252,0.92769,0.98444,1,0.995,0.8955,0.50391,0.74257,0.77538,0.00176636,0.00176636,0.00176636
120,1022.04,0.48228,0.55248,0.9319,0.98444,1,0.995,0.8955,0.50391,0.74257,0.77538,0.00176438,0.00176438,0.00176438
121,1029.03,0.35401,0.45577,0.883,0.97696,1,0.995,0.95104,0.49363,0.80912,0.79815,0.0017624,0.0017624,0.0017624
122,1036.2,0.42544,0.56315,0.92763,0.97696,1,0.995,0.95104,0.49363,0.80912,0.79815,0.00176042,0.00176042,0.00176042
123,1043.24,0.6389,0.6724,0.94439,0.97696,1,0.995,0.95104,0.49363,0.80912,0.79815,0.00175844,0.00175844,0.00175844
124,1050.24,0.4994,0.59978,0.90225,0.98324,1,0.995,0.90709,0.46532,0.71636,0.731,0.00175646,0.00175646,0.00175646
125,1057.17,0.44729,0.5535,0.91271,0.98324,1,0.995,0.90709,0.46532,0.71636,0.731,0.00175448,0.00175448,0.00175448
126,1064.13,0.53251,0.58908,0.94118,0.98324,1,0.995,0.90709,0.46532,0.71636,0.731,0.0017525,0.0017525,0.0017525
127,1071.12,0.45954,0.64535,1.02006,0.95375,1,0.995,0.92904,0.56165,0.87433,0.73204,0.00175052,0.00175052,0.00175052
128,1078.11,0.52605,0.66347,0.9462,0.95375,1,0.995,0.92904,0.56165,0.87433,0.73204,0.00174854,0.00174854,0.00174854
129,1085.02,0.54258,0.64097,1.01519,0.98432,1,0.995,0.88508,0.55718,0.70959,0.74699,0.00174656,0.00174656,0.00174656
130,1092,0.4321,0.52926,0.89451,0.98432,1,0.995,0.88508,0.55718,0.70959,0.74699,0.00174458,0.00174458,0.00174458
131,1099.16,0.44259,0.50854,0.89884,0.98432,1,0.995,0.88508,0.55718,0.70959,0.74699,0.0017426,0.0017426,0.0017426
132,1107.32,0.39075,0.58601,0.90234,0.98647,1,0.995,0.74135,0.48501,0.77201,0.76666,0.00174062,0.00174062,0.00174062
133,1114.44,0.43847,0.55016,0.95339,0.98647,1,0.995,0.74135,0.48501,0.77201,0.76666,0.00173864,0.00173864,0.00173864
134,1121.7,0.4182,0.49853,0.93789,0.98647,1,0.995,0.74135,0.48501,0.77201,0.76666,0.00173666,0.00173666,0.00173666
135,1128.86,0.47175,0.5136,0.90647,0.98642,1,0.995,0.92905,0.48376,0.70005,0.74744,0.00173468,0.00173468,0.00173468
136,1136.2,0.44453,0.50931,0.90114,0.98642,1,0.995,0.92905,0.48376,0.70005,0.74744,0.0017327,0.0017327,0.0017327
137,1143.48,0.5637,0.57127,0.9542,0.98635,1,0.995,0.95106,0.44017,0.70706,0.72905,0.00173072,0.00173072,0.00173072
138,1150.46,0.56565,0.58443,0.94902,0.98635,1,0.995,0.95106,0.44017,0.70706,0.72905,0.00172874,0.00172874,0.00172874
139,1157.39,0.4009,0.49299,0.91602,0.98635,1,0.995,0.95106,0.44017,0.70706,0.72905,0.00172676,0.00172676,0.00172676
140,1164.35,0.45831,0.5143,0.94615,0.98653,1,0.995,0.95106,0.42363,0.60754,0.71925,0.00172478,0.00172478,0.00172478
141,1171.35,0.45833,0.52015,0.90527,0.98653,1,0.995,0.95106,0.42363,0.60754,0.71925,0.0017228,0.0017228,0.0017228
142,1178.29,0.52792,0.56778,0.96293,0.98653,1,0.995,0.95106,0.42363,0.60754,0.71925,0.00172082,0.00172082,0.00172082
143,1185.69,0.43597,0.43637,0.88222,0.98674,1,0.995,0.95107,0.36081,0.50034,0.70082,0.00171884,0.00171884,0.00171884
144,1192.64,0.49057,0.5944,0.94945,0.98674,1,0.995,0.95107,0.36081,0.50034,0.70082,0.00171686,0.00171686,0.00171686
145,1199.8,0.487,0.52905,0.92008,0.98146,1,0.995,0.995,0.34131,0.58681,0.69082,0.00171488,0.00171488,0.00171488
146,1206.74,0.43308,0.4752,0.92554,0.98146,1,0.995,0.995,0.34131,0.58681,0.69082,0.0017129,0.0017129,0.0017129
147,1213.74,0.48862,0.57524,0.96542,0.98146,1,0.995,0.995,0.34131,0.58681,0.69082,0.00171092,0.00171092,0.00171092
148,1220.94,0.40274,0.44749,0.91945,0.98638,1,0.995,0.90674,0.51154,0.75865,0.74795,0.00170894,0.00170894,0.00170894
149,1228.02,0.45742,0.50496,0.93829,0.98638,1,0.995,0.90674,0.51154,0.75865,0.74795,0.00170696,0.00170696,0.00170696
150,1235.13,0.44708,0.50568,0.96392,0.98638,1,0.995,0.90674,0.51154,0.75865,0.74795,0.00170498,0.00170498,0.00170498
151,1242.14,0.46627,0.4673,0.94214,0.98661,1,0.995,0.90674,0.54028,0.60257,0.75874,0.001703,0.001703,0.001703
152,1249.31,0.52456,0.50765,0.912,0.98661,1,0.995,0.90674,0.54028,0.60257,0.75874,0.00170102,0.00170102,0.00170102
153,1256.24,0.4744,0.47843,0.87342,0.98787,1,0.995,0.80187,0.57879,0.76778,0.83241,0.00169904,0.00169904,0.00169904
154,1263.23,0.41235,0.43027,0.9154,0.98787,1,0.995,0.80187,0.57879,0.76778,0.83241,0.00169706,0.00169706,0.00169706
